hand,num_opponents,equity,iters
73o,2,0.224384,200000
73o,3,0.159159,200000
73o,4,0.123102,200000
73o,5,0.098929,200000
73o,6,0.084302,200000
73o,7,0.072412,200000
73o,8,0.063883,200000
73s,1,0.401195,200000
73s,2,0.262178,200000
73s,3,0.199512,200000
73s,4,0.164129,200000
73s,5,0.138913,200000
73s,6,0.123615,200000
73s,7,0.111496,200000
73s,8,0.10164,200000
74o,1,0.38714,200000
74o,2,0.244363,200000
74o,3,0.177052,200000
74o,4,0.138456,200000
74o,5,0.11452,200000
74o,6,0.096677,200000
74o,7,0.08447,200000
74o,8,0.074873,200000
74s,1,0.419058,200000
74s,2,0.283381,200000
74s,3,0.217508,200000
74s,4,0.178105,200000
74s,5,0.153148,200000
74s,6,0.135102,200000
74s,7,0.122442,200000
74s,8,0.112403,200000
75o,1,0.40381,200000
75o,2,0.266042,200000
75o,3,0.196148,200000
75o,4,0.154843,200000
75o,5,0.130344,200000
75o,6,0.110104,200000
75o,7,0.096475,200000
75o,8,0.087183,200000
75s,1,0.437585,200000
75s,2,0.300743,200000
75s,3,0.233132,200000
75s,4,0.193984,200000
75s,5,0.1655,200000
75s,6,0.148794,200000
75s,7,0.134645,200000
75s,8,0.12316,200000
76o,1,0.42444,200000
76o,2,0.28329,200000
76o,3,0.213703,200000
76o,4,0.171313,200000
76o,5,0.141879,200000
76o,6,0.1214,200000
76o,7,0.107288,200000
76o,8,0.096039,200000
76s,1,0.454437,200000
76s,2,0.320388,200000
76s,3,0.251275,200000
76s,4,0.206949,200000
76s,5,0.178202,200000
76s,6,0.158801,200000
76s,7,0.143464,200000
76s,8,0.129896,200000
77,1,0.663512,200000
77,2,0.465101,200000
77,3,0.344942,200000
77,4,0.267244,200000
77,5,0.217433,200000
77,6,0.185984,200000
77,7,0.162553,200000
77,8,0.146825,200000
82o,1,0.367555,200000
82o,2,0.219002,200000
82o,3,0.152228,200000
82o,4,0.113636,200000
82o,5,0.090959,200000
82o,6,0.076522,200000
82o,7,0.064336,200000
82o,8,0.055753,200000
82s,1,0.40336,200000
82s,2,0.258043,200000
82s,3,0.193206,200000
82s,4,0.156981,200000
82s,5,0.13326,200000
82s,6,0.117041,200000
82s,7,0.10379,200000
82s,8,0.094418,200000
83o,1,0.37473,200000
83o,2,0.222029,200000
83o,3,0.154728,200000
83o,4,0.118038,200000
83o,5,0.09563,200000
83o,6,0.078289,200000
83o,7,0.066876,200000
83o,8,0.058694,200000
83s,1,0.408555,200000
83s,2,0.263977,200000
83s,3,0.198057,200000
83s,4,0.160553,200000
83s,5,0.135113,200000
83s,6,0.120184,200000
83s,7,0.108496,200000
83s,8,0.09634,200000
84o,1,0.393273,200000
84o,2,0.244118,200000
84o,3,0.173254,200000
84o,4,0.134516,200000
84o,5,0.10842,200000
84o,6,0.09032,200000
84o,7,0.077338,200000
84o,8,0.068596,200000
84s,1,0.424955,200000
84s,2,0.280888,200000
84s,3,0.213933,200000
84s,4,0.174651,200000
84s,5,0.14936,200000
84s,6,0.131242,200000
84s,7,0.117662,200000
84s,8,0.107267,200000
85o,1,0.41392,200000
